id_aluno,nome,turma,media_geral,frequencia_media,status,media_geral_turma,frequencia_media_turma
1,AMELIE FLORENCE,1A,7.65,76.4,Aprovado,6.86,74.24
2,BÁRBARA LIMA,1A,6.6,75.4,Recuperação,6.86,74.24
3,MILO CASTELLO,1A,6.85,72.4,Recuperação,6.86,74.24
4,OLIVIER FLORENCE,1A,6.65,64.4,Recuperação,6.86,74.24
5,ALEXANDRE RAFAEL,1A,7.1,74.4,Aprovado,6.86,74.24
6,DARA ALICE VENTURINI,1A,7.25,75.8,Aprovado,6.86,74.24
7,FRANCISCO ALBUQUERQUE,1A,6.35,82.4,Recuperação,6.86,74.24
8,GUILHERME SANTOS,1A,6.85,79.2,Recuperação,6.86,74.24
9,LÍRIO TELLINI,1A,5.95,70.4,Recuperação,6.86,74.24
10,AYLA VALENÇA,1A,7.5,69.0,Aprovado,6.86,74.24
11,BRENO NOJARD,1A,6.45,76.2,Recuperação,6.86,74.24
12,JOREL LAGOS,1A,6.75,75.8,Recuperação,6.86,74.24
13,JORGE LAGOS,1A,6.7,69.0,Recuperação,6.86,74.24
14,LEANDRO RAFAEL,1A,7.05,79.2,Aprovado,6.86,74.24
15,LILA BONELLI,1A,7.15,70.4,Aprovado,6.86,74.24
16,LUCIO OLANI,1A,6.4,64.4,Recuperação,6.86,74.24
17,MELISSA TROVI,1A,6.85,73.0,Recuperação,6.86,74.24
18,MIKE BRUNO,1A,7.2,81.8,Aprovado,6.86,74.24
19,NATHALIA SCOMPA,1A,6.7,74.2,Recuperação,6.86,74.24
20,RICARDO ROCHA,1A,7.0,76.2,Aprovado,6.86,74.24
21,SHANYQUA DA SILVA,1A,7.0,79.0,Aprovado,6.86,74.24
22,CASSIANO MENTA,1B,6.8,68.4,Recuperação,6.53,73.66
23,EDUARDA FLOM,1B,5.85,76.4,Recuperação,6.53,73.66
24,HUGO LONGO,1B,6.2,75.4,Recuperação,6.53,73.66
25,MIA VERÍSSIMO,1B,6.85,79.0,Recuperação,6.53,73.66
26,SAMUEL NORTE,1B,6.0,69.4,Recuperação,6.53,73.66
27,JASER STRATCH,1B,6.7,71.8,Recuperação,6.53,73.66
28,LETÍCIA MANTRA,1B,6.65,71.8,Recuperação,6.53,73.66
29,NAOMI AKECHI,1B,6.6,76.0,Recuperação,6.53,73.66
30,JIRO YUKAMI,1B,6.35,66.8,Recuperação,6.53,73.66
31,ALEXIA GRIFO,1B,6.75,73.0,Recuperação,6.53,73.66
32,CLARISSA LEÃO,1B,6.8,76.6,Recuperação,6.53,73.66
33,SAMANTHA HALE,1B,6.65,71.8,Recuperação,6.53,73.66
34,CALISTO BESATT,1B,6.85,73.8,Recuperação,6.53,73.66
35,SOFIA BESATT,1B,5.85,80.2,Recuperação,6.53,73.66
36,AGATHA VOLKOMENN,1B,5.95,76.8,Recuperação,6.53,73.66
37,LINA KUNSTI,1B,7.25,72.2,Aprovado,6.53,73.66
38,PEDRO NEMIERA,1B,7.15,79.0,Aprovado,6.53,73.66
39,AMORA ALENO,1B,6.3,69.4,Recuperação,6.53,73.66
40,IARA SUNA,1B,6.45,71.8,Recuperação,6.53,73.66
41,JASPER AGUIAR,2A,6.7,71.8,Recuperação,6.66,74.2
42,LENA VIEGAS,2A,7.0,76.0,Aprovado,6.66,74.2
43,MARIA HELENA,2A,6.95,75.0,Recuperação,6.66,74.2
44,REMI LABY,2A,6.9,79.0,Recuperação,6.66,74.2
45,TUCO BELEZ,2A,6.35,69.4,Recuperação,6.66,74.2
46,JONAS AGUIAR,2A,7.25,71.8,Aprovado,6.66,74.2
47,KEMI VIEGAS,2A,6.45,71.8,Recuperação,6.66,74.2
48,PARK JAE-YOON,2A,7.0,73.8,Aprovado,6.66,74.2
49,LABBI REMI,2A,6.3,80.2,Recuperação,6.66,74.2
50,DALMO MAGNO,2A,6.5,76.2,Recuperação,6.66,74.2
51,JUAN HENRI,2A,6.85,79.0,Recuperação,6.66,74.2
52,ANA COURAÇA,2A,6.0,66.8,Recuperação,6.66,74.2
53,ESCARLATA CORAÇÃO,2A,7.2,72.2,Aprovado,6.66,74.2
54,ALÊ PSIKOLERA,2A,6.75,79.0,Recuperação,6.66,74.2
55,CINDY LOPES,2A,6.55,69.4,Recuperação,6.66,74.2
56,ELOY FURTADO,2A,6.25,71.8,Recuperação,6.66,74.2
57,CAIO TELES,2A,6.2,71.8,Recuperação,6.66,74.2
58,FRANCO PSIKOLERA,2A,6.4,76.0,Recuperação,6.66,74.2
59,CAÍTO ROCHA,2A,6.1,78.0,Recuperação,6.66,74.2
60,DANIELA RUBRA,2A,7.5,75.0,Aprovado,6.66,74.2
61,ALVIRA VAMPIROS,2B,6.3,76.0,Recuperação,6.64,74.23
62,RAZIEL BAT,2B,6.55,68.4,Recuperação,6.64,74.23
63,SABARA SANGUE,2B,6.65,69.0,Recuperação,6.64,74.23
64,VELISAR VAMPIROS,2B,6.55,80.8,Recuperação,6.64,74.23
65,ZÉFEROS BAT,2B,6.15,76.2,Recuperação,6.64,74.23
66,ARTEMIS RODRIGUES,2B,7.5,79.0,Aprovado,6.64,74.23
67,BORIS LUKIC,2B,7.15,72.4,Aprovado,6.64,74.23
68,DAMIR LUKIC,2B,6.4,74.8,Recuperação,6.64,74.23
69,GAL KIAN,2B,7.25,79.2,Aprovado,6.64,74.23
70,THEODORE BAGWELL,2B,6.6,70.4,Recuperação,6.64,74.23
71,LUCIE POCHARDE,2B,6.2,64.4,Recuperação,6.64,74.23
72,LUIS MIGUEL,2B,7.8,73.0,Aprovado,6.64,74.23
73,JEFFEREY BACON,2B,6.7,81.8,Recuperação,6.64,74.23
74,DIEGO THALLES,2B,6.65,74.2,Recuperação,6.64,74.23
75,CELESTINE CASCADIA,2B,6.45,81.8,Recuperação,6.64,74.23
76,AMALIA KARISE,2B,6.85,74.8,Recuperação,6.64,74.23
77,REMUS VERITUS,2B,6.25,75.0,Recuperação,6.64,74.23
